,Generated Text,Actual Text,Original Sentence,other
0,positive,positive,"get sentiment: (I will say, the waitress was very sweet and did try to compensate for the chef and owner's poor beh- we gave her a big tip). aspect: waitress",
1,positive,positive,"get sentiment: 2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene. aspect: scene",
2,negative,negative,"get sentiment: A friend of mine and I bumped into this restaurant last week and it didn't look like any special place on the outside, but when we looked at the menu we decided to give it a try. aspect: place",
3,negative,negative,get sentiment: A hour passed until the waitress came over to give us menus and tell us she would be right back another hour later After trying to order fish she informed us that all fish entrees on the menu was sold out We took a minute to make a second choice and tried to order something else that we were told was also sold out. aspect: waitress,
4,negative,positive,get sentiment: After being ignored by our waiter we complained to the manager who assured us everything would improve. aspect: manager,
5,positive,positive,"get sentiment: After our meal,the manager, even took some of his time to sit with us and give us a lesson in Sake 101. aspect: manager",
6,negative,neutral,"get sentiment: Also, they upped their prices, so I have their old menu, and was surprised when my bill came to over $5 more than it used to (I know, not a huge deal). aspect: bill",
7,positive,positive,"get sentiment: Although she was obviously busy, she was helpful in describing certain items on the menu and suggested a duck dish that was out of this world. aspect: duck dish",
8,positive,positive,get sentiment: Anyway we get a table and order some appetizers from one of the waitresses who was pleasently nice. aspect: waitresses,
9,positive,positive,get sentiment: Asked for wine recommendations and the waitress told me her favorites and described them in detail - I don't encounter this much in NYC. aspect: waitress,
10,positive,positive,get sentiment: Bernard is a great host; it didn't bother me a bit that he recited the entire menu to my wife. aspect: host,
11,negative,positive,get sentiment: but the Server informed us that they wanted to make the soup their own and that she hopes we like it. aspect: Server,
12,neutral,neutral,get sentiment: but the Server informed us that they wanted to make the soup their own and that she hopes we like it. aspect: soup,
13,neutral,neutral,"get sentiment: dinner on 1st floor (street level) a bit noisy, 2nd floor has bed-style seating that is good for dessert drinks (do not attempt to have entree on the bed, what a mess it will be trying to eat rice dishes with sauce while half-lying down). aspect: dinner",
14,negative,negative,get sentiment: Especially the manager or host who kept walking by and giving us the evil eye to see the progress of our dinner so they could turn the table over to other customers. aspect: host,
15,negative,negative,get sentiment: Especially the manager or host who kept walking by and giving us the evil eye to see the progress of our dinner so they could turn the table over to other customers. aspect: manager,
16,negative,neutral,get sentiment: got the guac but no drinks until it was all gone (approximately 20 minutes later). aspect: guac,
17,positive,positive,get sentiment: Got the scoop on this new hot spot and decided to give it shot for a client dinner. aspect: spot,
18,neutral,neutral,"get sentiment: Had the calamari app, which TGIFriday's makes better, and the scallop ceviche - that is NOT ceviche! aspect: calamari app",
19,positive,negative,"get sentiment: Had the calamari app, which TGIFriday's makes better, and the scallop ceviche - that is NOT ceviche! aspect: scallop ceviche",
20,negative,negative,get sentiment: However when the party was complete we had the other waitress come over who said that we had to order all the food at once and couldnt order just appetizers. aspect: waitress,
21,positive,positive,"get sentiment: I always listen to the waiters' recommendations, because they're always awesome - either a special or just one of their faves off the menu. aspect: waiters",
