review_id,sentences_ids,sentences_texts,sentences_opinions
632121,id_3,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe positive <sep> owner positive <sep> service positive
Y#2,id_1,"The place is a bit hidden away, but once you get there, it's all worth it.",place neutral <sep> place positive
P#7,id_4,"Our waitress wasn't mean, but not especially warm or attentive either.",waitress neutral
1707741,id_3,Service was also very good.,Service positive
709294,id_0,My roommate and I LOVE this place.,place positive
1726427,id_0,The service was excellent and the food was delicious.,service positive <sep> food positive
BFC#9,id_6,"There was no tap beer that evening, which was a disappointment.",beer negative
496132,id_0,This is the kind of place you'd like to take all your friends to and still keep a secret.,place positive
1138996,id_1,"We have been to this place many times, and always have great food, wine, and service.",food positive <sep> wine positive <sep> service positive
1297844,id_4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,bagel negative
1387314,id_4,It's a small cute restaurant.,restaurant positive
CLF#4,id_11,It is quite a spectacular scene i'll give them that.,scene positive
1713185,id_3,If you want good authentic Thai this place is not the place to go.,Thai negative
ADLT#2,id_1,"The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.",pastas positive <sep> risottos positive <sep> sepia positive <sep> braised rabbit positive
1280166,id_4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,Traditional French decour positive <sep> hall negative
1700205,id_1,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",caviar positive <sep> waitstaff positive
1293334,id_1,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary, and to our surprise it was fantastic.",Jekyll and Hyde Pub positive
BFC#7,id_0,Fabulous food - if the front of house staff don't put you off –,food positive <sep> front of house staff negative
TFS#5,id_21,"I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.",restaurant negative
TFS#5,id_25,"All in all, the food was great (except for the dessserts).",food positive <sep> dessserts negative
P#10,id_1,I can't remember the last time I had such gross food in New York.,food negative
1335154,id_4,"I didn't complain, I liked the atmosphere so much.",atmosphere positive
1300636,id_4,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.",food positive <sep> ambience positive <sep> service positive
1702257,id_0,Nice Family owned traditional restaurant.,restaurant positive
929329,id_3,"Interesting selection, good wines, service fine, fun decor.",wines positive <sep> service positive <sep> decor positive <sep> selection positive
1264954,id_0,"On a recent Sunday afternoon, a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT.",restaurant positive
1353599,id_4,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,place neutral
1430994,id_1,The staff offers impeccable service.,staff positive
1623276,id_1,The food is tasty and portion sizes are appropriate.,food positive <sep> portion sizes positive
1280166,id_3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection positive <sep> wine-by-the-glass positive
1460715,id_4,Have the iced tea.,iced tea positive
TR#3,id_3,Good food: my favorite is the seafood spaghetti.,food positive <sep> seafood spaghetti positive
958809,id_2,We could have made a meal of the yummy dumplings from the dumpling menu.,dumplings positive
1398844,id_3,Slightly above average wines start at $70+ with only one selection listed at $30+.,wines negative
1439875,id_1,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",service positive <sep> place negative <sep> place positive
NP#4,id_2,"The menu looked great, and the waiter was very nice, but when the food came, it was average.",menu positive <sep> waiter positive <sep> food neutral
1632929,id_5,Truly the mark of an attentive waiter.,waiter positive
1253117,id_5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,Wait staff negative <sep> pie positive
DBG#7,id_8,The sauce tasted more like Chinese fast food than decent Korean.,sauce negative
TR#3,id_2,"Place is open till late, no dress code.",Place positive
470488,id_3,The rice was poor quality and was cooked so badly it was hard.,rice negative
1477631,id_0,This is the BEST Shabu-Shabu Restaurant in the Try-State Area.,Shabu-Shabu Restaurant positive
Z#6,id_5,"My party had the BBE $29 fixe prix menu, which was such a wonderful deal since it also came with a flight of sake!",BBE $29 fixe prix menu positive
