review_id,sentences_ids,sentences_texts,sentences_opinions
en_PagodaRestaurant_478006817,id_2,"The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.",lemon chicken negative <sep> honey walnut prawns negative
en_ParkChaletGardenRestaurant_477778282,id_2,Everyone that sat in the back outside agreed that it was the worst service we had ever received.,service negative
en_ParkChaletGardenRestaurant_477778282,id_4,"I complained to the manager, but he was not even apologetic.",manager negative
en_OpenSesame_477970939,id_5,I had the Kafta plate and it was perfect.,Kafta plate positive
en_Sage_480875505,id_3,Caution - its real food for people who love the best.,food positive
en_BlueRibbonSushi_478218520,id_2,They have a wide variety of fish and they even list which oceans they come from; Atlantic or Pacific.,fish positive
en_BlueRibbonSushi_478218520,id_3,"I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.",Jellyfish positive <sep> Horse Mackerel positive <sep> Blue Fin Tuna positive <sep> Sake Ikura roll positive
en_India'sGrill_477960694,id_3,I think I have probably tried each item on their menu at least once it is all excellent.,menu positive
en_India'sGrill_477960698,id_3,The food was all good but it was way too mild.,food positive <sep> food negative
en_OpenSesame_477970938,id_4,"The presentation of the food was an added bonus, it looked just as great as it tasted!",food positive
en_OpenSesame_477970938,id_5,My best friend had the chicken shawarma and she STILL raves about it being the best anywhere!,chicken shawarma positive
en_ParkChaletGardenRestaurant_477778171,id_1,– My first time to dine at this restaurant was with my son and it was absolutely horrible!,restaurant negative
en_ParkChaletGardenRestaurant_477778171,id_11,Sunday afternoons there is a band playing and it is lots of fun.,band positive
en_SchoonerOrLater_477965848,id_2,"The food is not what it once was (potions have seriously seen downsizing) prices have gone up, and the service is the worst I have experienced anywhere (including mainland Europe).",food negative <sep> potions negative <sep> service negative
en_SchoonerOrLater_477965848,id_7,I hope one day Scooner or Later returns to what it once was.,Scooner or Later negative
en_MercedesRestaurant_478010602,id_2,"it gets really busy, so get there on the early side so you can grab a seat, if you do have to wait, its not bad because the service is quick!",service positive
