review_id,sentences_ids,sentences_texts,sentences_opinions
152,3027,Enabling the battery timer is useless.,battery timer negative
1907,2571,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size positive <sep> size positive
35,2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing positive
774,523,I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers positive <sep> subwoofer positive
1030,2319,With Windows laptops a wireless mouse is an absolute must.,wireless mouse neutral
488,146,I hate the display screen and I have done everything I could do the change it.,display screen negative
438,2435,I was disappointed when I realized that the keyboard doesn't light up on this model.,keyboard negative
1970,1481,It is extremely portable and easily connects to WIFI at the library and elsewhere.,connects to WIFI positive
688,2797,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd negative
2574,62,They should have included more memory on their computers if they knew Vista would run slowly.,memory negative <sep> Vista negative
1727,1028,Or the cursor would show up some place else.,cursor negative
140,2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use positive <sep> service positive <sep> phone assistance positive <sep> genius bar positive
2948,845,"Long story, but after many calls to various  offices, I was told that no one can override the depot and that managers  don't take phone calls or e/mails.",depot neutral
2808,2783,Was not happy with one of the programs on it.,one of the programs negative
1068,2902,"I have found also, it is very easy to be able to access wireless internet access;",wireless internet access positive
1704,2677,"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.",software options negative <sep> applications negative
953,2261,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",Apple applications positive <sep> iPhoto positive
661,2077,The screen shows great colors.,screen positive <sep> colors positive
2146,290,"I know there are way better laptops out there for the same price, and why spend money on shit when you can go out and get yourself a perfectly decent laptop that doesnt suck total monkey balls.",price neutral
1943,2188,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.",battery life positive
2032,639,-I propose that I can just swap the hard drives.,hard drives neutral
2952,153,"The screen is huge and coloful, but no LED backlighting.",screen positive
3012,2299,You can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.,surfing the web positive
2927,2431,"This is an over-sized, 18-inch laptop.",18-inch negative
1225,1706,My main reason to convert was the imovie program.,imovie program positive
1121,1493,""">  iPhoto is probably the best program I have ever worked with: easy and convenient.",iPhoto positive
477,379,I loaded windows 7 via Bootcamp and it works flawlessly!,windows 7 positive <sep> Bootcamp positive
647,756,PC never worked right even after BIOS fixed.,BIOS negative
2999,2898,The Toshiba Satellite has been more than I expected for the price.,price positive
2586,1892,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,warranty negative
1521,2512,There is nothing to complain about the system.,system positive
1705,2588,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",features neutral <sep> functioning neutral <sep> programs neutral <sep> Office positive
312,2632,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",Mac OS positive
2871,1018,I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.,repair technician positive
247,2938,I wish the volume could be louder and the mouse didnt break after only a month.,volume negative <sep> mouse negative
1846,2653,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",Intel i processors negative <sep> edge negative <sep> edges negative
84,2492,Amazing Quality!,Quality positive
