review_id,sentences_ids,sentences_texts,sentences_opinions,opinions_pos,sentences_texts_org,sentences_opinions_org
774,523,Supongo que lo único bueno que salió de estos fueron los altavoces y el subwoofer.,Altavoces positive <sep> subwoofer positive,57-66 <sep> 72-81,I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers positive <sep> subwoofer positive
488,146,Odio la pantalla de visualización y he hecho todo lo posible para cambiarla.,pantalla de visualización negative,8-33,I hate the display screen and I have done everything I could do the change it.,display screen negative
438,2435,Me decepcionó cuando me di cuenta de que el teclado no se ilumina en este modelo.,teclado negative,44-51,I was disappointed when I realized that the keyboard doesn't light up on this model.,keyboard negative
688,2797,"Ah, y si eso no es lo suficientemente malo, no viene con un CD de recuperación, por lo que puede hacer uno si sabe cómo hacerlo o comprar uno si lo compra, el costo es de $ 25 por dos CD.",cd de recuperación negative,60-78,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,recovery cd negative
2574,62,Deberían haber incluido más memoria en sus computadoras si supieran que Vista funcionaría lentamente.,memoria negative <sep> Vista negative,28-35 <sep> 72-77,They should have included more memory on their computers if they knew Vista would run slowly.,memory negative <sep> Vista negative
1727,1028,O el cursor aparecería en otro lugar.,cursor negative,5-11,Or the cursor would show up some place else.,cursor negative
140,2470,"Su facilidad de uso y el mejor servicio de Apple, ya sea su asistencia telefónica o hasta la barra de genios, es inmejorable.",Servicio positive <sep> asistencia telefónica positive <sep> barra de genio positive,31-39 <sep> 60-81 <sep> 93-107,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use positive <sep> service positive <sep> phone assistance positive <sep> genius bar positive
2808,2783,No estaba contento con uno de los programas.,uno de los programas negative,23-43,Was not happy with one of the programs on it.,one of the programs negative
1068,2902,También he descubierto que es muy fácil poder acceder al acceso inalámbrico a Internet;,acceso inalámbrico a internet positive,57-86,"I have found also, it is very easy to be able to access wireless internet access;",wireless internet access positive
1704,2677,"Al igual que con cualquier computadora portátil que no se haya comprado con opciones de software, viene con muchas de las aplicaciones que considero inútiles.",opciones de software negative <sep> aplicaciones negative,76-96 <sep> 122-134,"As with any laptop not purchased with software options, it comes with a lot of what I consider useless applications.",software options negative <sep> applications negative
