review_id,sentences_ids,sentences_texts,sentences_opinions
0,0,"I politely told our waitress about this and she was not only apologetic, but the manager came over a minute later and apologized and bought myself and my guest another round of drinks.",waitress negative <sep> manager positive <sep> drinks neutral
0,0,"The atmosphere is certainly unlike any other restaurant in all of Manhattan, but it is a pity that the food does not live up to the decor.",atmosphere positive <sep> food negative <sep> decor negative
0,0,"I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!",new Jazz Bar neutral <sep> Dining Garden positive <sep> Thin Crust Pizzas positive <sep> Lasagna Menu positive
0,0,They lost our reservations and the manager quickly came over and apologized and then gave us a free round of drinks and free dessert.,reservations neutral <sep> manager positive
0,0,"Although we were seated quickly, ambiance was cozy, service was decent the overall menu selection and overall food taste and presentation was less to be desired!",ambiance positive <sep> service positive <sep> food taste negative
0,0,"We asked for the manager who told us that it was their first time serving brunch, to be patient and that our bill would be discounted.",manager positive <sep> serving brunch neutral
0,0,"Service is not particularly warm, but I've gone back again and again (for dinner) over the years on an almost monthly basis.",Service negative <sep> dinner neutral
0,0,"Be warned though, this plaice gets packed at lunch - and the service can be rottenly slow-going.",lunch neutral <sep> service negative
0,0,"However the manager, who refused to come to our table to discuss it, said we were wrong (through the poor waitress) and would not replace our bottle.",manager negative <sep> table neutral <sep> waitress negative
0,0,"For desert take the tiramisu, it is by far the best there.",desert neutral <sep> tiramisu positive
0,0,"Then we were led downstairs to the main room, and were seated at the huge communal dining room table.",seated neutral <sep> dining room table positive
0,0,Food : A++ Service : A++ Value : A++ No other steakhouse in Manhattan can beat Ruth's Chris.,Food neutral <sep> Service positive
0,0,Our waitress hardly spoken English - and not because she spoke French - and she spilled wine all over me and didn't try to make any amends.,waitress negative <sep> wine neutral
0,0,"Their menu is limited, they serve miniscule omelettes that may be suitable for a child (with what seems like a teaspoon of stuffing) with a salad (have to pay even more for fries) for $10- which was poorly washed and there were bits of soil all over it!!",menu negative <sep> fries neutral
0,0,"The prices were outrageous, but we assumed the quality would be commensurate, so we ordered.",prices negative <sep> quality positive
0,0,the food arrived and a 1/3 of the way through my meal i realised that two-thirds of my fish was uncooked.,food neutral <sep> meal neutral <sep> fish negative
0,0,"The simple corn tamale comes with a mild homemade sour cream, and the inexpensive enchiladas, prepared with expertly spiced strips of beef, could easily serve as an entree.",corn tamale positive <sep> homemade sour cream positive <sep> spiced strips positive <sep> entree neutral
0,0,MY FATHER ASKED FOR A MARTINI MADE A CERTAIN WAY THE WAITER HAD NO CLUE WHAT HE WAS TALKING ABOUT.,MARTINI neutral <sep> WAITER negative
0,0,"The space is a bit cramped and the waitress seemed to avoid eye contact at all costs, however, I would recommend you go just for the food.",space negative <sep> waitress negative <sep> food positive
0,0,"Only problem was - an older gentleman (well-dressed but a little enebriated) chose to sit down right next to me - despite the fact that all 15 other seats were free - order himself a martini, and then describe how dry and dissapointing the burger was when he ordered it a few days ago.",gentleman negative <sep> seats negative <sep> martini neutral
0,0,Their pre-theater prix fixe was a cut above the rest: appetizer stand out - Duck breast with mushroom canelloni.,appetizer positive <sep> Duck breast with mushroom canelloni neutral
0,0,I met five of my friends for dinner at Blockheads last Friday night and had a good time.,dinner neutral <sep> time positive
0,0,The Scene The windowed bar and front waiting area seems bright and airy compared to the somewhat stuffy main room.,Scene neutral <sep> windowed bar positive <sep> front waiting area positive
0,0,Each dish is carefully prepared and is a tribute to the ingredients being served.,dish positive <sep> ingredients neutral <sep> served neutral
0,0,"I'm a chef (30 years), and I can honestly say that I've finally found Italian food worth eating at a reasonable price.",chef neutral <sep> price positive
0,0,Great wine list with an extra expensive selection for all you big spenders.,wine list positive <sep> selection negative
0,0,"After we sat down and started ordering, the waiter informed us that they were really only into serving dinners.",waiter negative <sep> serving dinners neutral
0,0,"By the time you get to the table, it'll have been WELL worth the wait.",table neutral <sep> wait positive
0,0,"The ribs are a second runner up, poo poo platters are never out of style.",ribs neutral <sep> poo platters positive
0,0,I didn't know what to expect from Frankie and Johnnie's when I made the reservation after my friend told me it was the best steak he had had.,reservation neutral <sep> steak positive
0,0,"the service was somewhat spotty, but we were rewarded with free drinks and the waiters were all sweet and lovely, genuinely french-speaking but not snooty!",service negative <sep> drinks positive <sep> waiters positive
0,0,"Drinks took a while, and after a few rounds pf the we're sorry, we don't have this bottle sir routine.",Drinks neutral <sep> sir routine negative
0,0,"The place is small, but loaded with plenty of goodies that range from Italian inspired treats to Greek pastries all well prepared.",place negative <sep> Greek pastries positive
0,0,"The other side of the menu offers chicken, veal, and seafood standards, including perfect saltimbocca and a huge, succulent veal chop.",menu neutral <sep> chicken neutral <sep> seafood neutral <sep> saltimbocca positive <sep> veal chop positive
0,0,"Long wait for our meal (approx 30 minutes), unusual slow service, waitresses (especially the preety one with black hair) louder thn clients, do not care much for customers.",meal neutral <sep> service negative <sep> waitresses negative
0,0,Meat wasn't fall-off-the bone (a sign of over-cooking) but was tender and had deep flavor.,Meat negative <sep> flavor positive
0,0,Orange Valve is probably the best bar that I've been to in a while.,Orange Valve neutral <sep> bar positive
0,0,"The notable array of refreshing drinks includes raspberry lemonade, an assortment of smoothies and iced teas, and a black cow ice-cream float.",drinks includes raspberry lemonade positive <sep> assortment of smoothies neutral <sep> iced teas neutral
0,0,Hoegardden on tap is an added bonus if you're not drinking from the well versed wine menu.,tap neutral <sep> wine menu positive
0,0,There are times when there is a long wait at lunch so be safe and make a reservation.,wait negative <sep> lunch neutral <sep> reservation neutral
0,0,"When my family and I visited, we were hearded in and out of the restaurant like cattle; not once did our waiter ask how are meal was, and the waitress mixed up our steaks.",meal neutral <sep> waitress negative
0,0,The owner sat with us and asked us what fish we liked and prepared an entree for each of us with an array of seafood.,owner positive <sep> fish neutral <sep> entree neutral <sep> seafood positive
0,0,"you go all out with dress, tastes, and performance, and in the end its really about having a good time where you truly indulge yoursef in good vodka, compnay, music, and food.",dress neutral <sep> vodka positive <sep> music neutral <sep> food neutral
0,0,I must admit the times my family (6 or more) have had dinner there the service seemed to forget us after serving the main course.,dinner neutral <sep> service negative <sep> serving neutral
0,0,"We had to wait an hour before our food was served, then another hour inbetween courses, all the while whilst the staff were naughtily hiding in an attempt to avoid our 'where's out food?'",served neutral <sep> courses neutral <sep> staff negative
0,0,"Waitress was nice but didnt know some specials and was alittle off, think she was new.",Waitress positive <sep> specials neutral
0,0,Diver scallops were divine along with chilled beets or high volocety pasta.,scallops neutral <sep> chilled beets neutral <sep> volocety pasta positive
0,0,"However, the service has SIGNIFICANTLY declined since they expanded into the back room.",service negative <sep> room neutral
0,0,the service was horrible then and the food was decent.,service negative <sep> food positive
0,0,"Deborah, the chef and co-owner, is an extraordinary talent - she has not received the notoriety she deserves - and her food, while not expensive, really merits a two or three star rating.",chef positive <sep> food neutral
0,0,The food is spicy like it should be not swimming in oil like it is at song down the street.,food positive <sep> oil negative
0,0,I went anyway and was greeted by the rude owner who practicly ripped our outside drink from our hands (although we were trying to throw it out anyway.,owner negative <sep> drink neutral
0,0,"The decor was pleasant, but the tables were way too much crowded for a restaurant of this presumptive caliber.",decor positive <sep> tables negative
0,0,Brunch at Cafe des Artistes was hands down the most terrible dining experience I have had in New York.,Brunch neutral <sep> dining negative
0,0,"We first got a table next to a VERY loud speaker and had no view, but the waiter was kind enough to move us when we asked.",table neutral <sep> waiter positive
0,0,"The Scene Quartino's airy dining room, wrapped in high windows, hinges around a trendy bar where regulars sip wine out of blunt tumblers while swapping stories--often in Italian.",Scene neutral <sep> airy dining room neutral <sep> bar positive
0,0,"Succulent, buxom mussels can be had four ways: with classical white wine, tomatoes, luxurious Pernod and cream, or chorizo and white beans.",mussels positive <sep> white wine neutral <sep> tomatoes neutral <sep> Pernod positive
0,0,"Forget what it was called, but it had some kind of onion puree on top that ROCKED and the steak was a grass-fed organic type and very tender.",onion puree neutral <sep> steak positive
0,0,(try the Queso Fundido and fire) Upstairs there is a dining room which is decorated with brightly colored mexican theme.,Queso neutral <sep> dining room neutral <sep> theme positive
0,0,"The decor reminds me of Miami nightclubs, and we sat in a cool communal strip, where you share your table with people.",decor positive <sep> table neutral
0,0,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,lunch neutral <sep> time positive
0,0,"This is one of my first dining experiences in NYC when I first moved here 10 years ago, and although Hudson Corner is consistently good, it has gone downhill over the years in both food quality and service!",dining experiences neutral <sep> food quality negative <sep> service negative
0,0,"The menu sounded good but the grilled eggplant roll was oversauced with a pile of mint, pork chop was leathery, and everything just tasted wrong.",menu neutral <sep> grilled eggplant roll negative
0,0,"Other than the too fruity drinks at the bar which wasn't my cup of tea, everything else was excellent.",bar neutral <sep> tea negative
0,0,The hostess kept me waiting 10 minutes (attempting to read seating chart which I assume was in cyrillic) before determining whether she could seat us.,hostess negative <sep> waiting neutral <sep> seating neutral
0,0,"I have to agree with the previous review that the atmosphere isn't much, but Mister Falafel can't be beat for quick, delicious, cheap takeout.",atmosphere negative <sep> Falafel positive
0,0,"The smell was heavenly, and the appearance was great, but the cheese was a little too salty and heavy.",appearance positive <sep> cheese negative
0,0,"While the recently added outdoor seating was what drew me and my friend to the restaurant, the food, service and overall experience were what drove us out!",outdoor seating neutral <sep> service negative
0,0,"The service is sweet and attentive, the wine is delicious and the new wine bar around the corner has the most amazing selection, as well as cheeses and tapas.",service positive <sep> new wine bar neutral <sep> selection positive <sep> cheeses positive <sep> tapas positive
0,0,(So long that it prevented me from increasing their sales by getting more possible drinks) If i just saw my one waiter the whole night I would have known who to talk too.,sales neutral <sep> drinks neutral <sep> waiter negative
0,0,"After ordering a couple beers from the pleasant bartender, my date and I took a seat at one of MANY vacant tables next to the bar (The bar stools were full).",bartender positive <sep> seat neutral <sep> bar stools negative
0,0,"After making reservations almost a month in advance, I was very disappointed to be seated in a secluded area for dinner next to the sushi bar and KITCHEN!!!!!!!",reservations neutral <sep> seated negative <sep> sushi bar neutral
0,0,"When we finally ordered our wine, the waitress brought the bottle of wine over with ONE GLASS MISSING - meaning, we'd have to wait even longer for the final glass to arrive - which were all piping hot from the dishwasher.",waitress negative <sep> bottle of wine neutral
0,0,"For dessert we split the combination platter, which had rather small portions but they were good.",dessert neutral <sep> platter neutral <sep> portions negative
0,0,"Additionally, one of the waiters found it necessary to walk around the restaurant, telling people how to eat their food.",waiters positive <sep> food neutral
0,0,The service could be better but the management (Mariano) is quite helpful if there are any problems.,service neutral <sep> Mariano positive
0,0,"Sushi is consistently fresh, service pleasant Sushi rice is a bit hard.",service positive <sep> Sushi rice negative
0,0,"Thin crust, lots of sauce and very little cheese, it's not your typical Sicilian slice of pizza, but can't explain why I have a hard time eating less than 4 of those babies!",crust positive <sep> Sicilian slice of pizza neutral
0,0,The pancakes I ordered were nothing like the menu's description.,pancakes negative <sep> menu neutral <sep> description neutral
0,0,Although the dining area is a bit small you'll feel at home as the owner is very friendly and talkative.,dining area negative <sep> owner positive
0,0,"For appetizers try the tuna carpaccio with wasabi creme fraiche, lobster tempura with tarter sauce.",appetizers neutral <sep> tuna carpaccio with wasabi creme fraiche positive <sep> lobster tempura with tarter sauce positive
0,0,"For dinner, I love the churrasco and halibut with of course black beans and yellow rice.",dinner neutral <sep> churrasco positive <sep> halibut with of course black beans positive <sep> rice positive
0,0,"Our booth style seats would've been more romantic if our waitress, though nice, was less intrusive, and the loud music from its bar didn't filter thru so much.",booth style seats positive <sep> waitress negative <sep> bar neutral
0,0,"Atmosphere in the formal room was nice, but the informal dining room was extremely loud which ultimately made the formal room louder than my perference.",Atmosphere positive <sep> informal dining room negative
0,0,"The Scene With its long zinc bar, plush couches and patterned suede walls, the lounge is a swank spot for midtown's cocktail crowd.",Scene positive <sep> bar neutral
0,0,The quality of the food used to be worth the long waits but not anymore.,quality negative <sep> food neutral
0,0,"When questioning our server about a certain dish, she kindly brought over the Union Sq.",server positive <sep> dish neutral
0,0,My friend was a vegetarian and the staff went out of their way to provide her with a special entree.,staff positive <sep> entree neutral
0,0,"The scene is a bit much some time, but the food is worth it.",scene negative <sep> food positive
0,0,"I am not sure if this was just an off night or what, our waiter forgot wine, brought us desert menus before dinner came, then brought us the wrong dinner.",waiter negative <sep> wine neutral <sep> desert menus neutral
