review_id,sentences_ids,sentences_texts,sentences_opinions
0,0,Waitress took FOREVER to take our drink order (it was not crowded) and she forgot our chips guac.,drink neutral <sep> chips guac negative
0,0,"Actually she want to eat sushi, but their staff reject to serve it.",sushi neutral <sep> staff negative
0,0,from the hostess to the bartender to the waiter (who told us that we had to leave because the tables needed to be turned around more quickly even though it was a friends engagement dinner).,bartender negative <sep> waiter negative <sep> tables neutral <sep> dinner neutral
0,0,After dinner our waiter takes the bill and the manager tells him to clear our table so that we could leave.,dinner neutral <sep> waiter negative <sep> bill neutral <sep> manager negative
0,0,"Blue Ribbon Sushi has far more than a cult following, packed daily from Noon till 3 AM, with hipsters, celebrities, Sashimi Lovers, and of course SOHO locals, it's breath taking menu, Superb Fare, Lengthy Sake List, and pro seating system have earned it a 5 STAR rating with The Sushi Times: 6 years running.",Ribbon Sushi positive <sep> Sashimi positive <sep> menu neutral <sep> Fare positive
0,0,"After an hour of waiting at an overcrowded bar with our coats in our hands and no room to move, I approached the host (who never bothered to give us an update throughout our wait) to ask him how much longer, He was incredibly rude and dismissed me with his hand and walked away from me while I was trying to talk to him!",waiting neutral <sep> bar negative <sep> room negative <sep> host negative
0,0,"The owner kindly gave us appetizers on the house to make our now, long wait, more pleasant, but of course they took forever to arrive and were insufficient.",owner positive <sep> appetizers neutral
0,0,"I'm not a big dessert fan, but I met a friend for a drink there the other night and we found it cuz it was really cozy looking packed with people.",dessert negative <sep> drink neutral
0,0,The staff forgot my girlfriend's food altogether as she waited for half an hour.,staff negative <sep> food neutral
0,0,Bartender made a bad drink for me and I sent it back and was charged for it.,Bartender neutral <sep> drink negative
0,0,"The place is small, the host was friendly and communicative -- we had to wait 45 minutes for a table but they don't take reservations and clearly it's a popular spot.",place negative <sep> reservations neutral
0,0,"Wish the Greenwich street location had more seating like their 2nd Ave location, because one invariably leaves it smelling of grease.",seating positive <sep> grease neutral
0,0,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok.",Service negative <sep> waiter neutral
0,0,"What I can say is that it was definitely some very good quality pizza, no matter what area of the world/style of pizza you are used to.",quality pizza positive <sep> pizza neutral
0,0,"our appetizers came out relatively quickly, but it was near impossible to get a hold of a waiter to order and get our drinks.",appetizers positive <sep> waiter negative <sep> drinks neutral
0,0,This is the only place that has great cheesecake in the Tri State area and they are famous for it.,cheesecake positive <sep> area neutral
0,0,"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.",price neutral <sep> flavor negative
0,0,I came here b/c someone gave a trashy review to my favorite coffee place (Grey Dog's) and compared it to this place so I had to see for myself what was so great about 71.,coffee place positive <sep> Grey Dog neutral
0,0,"Our waiter ask us what kind of soufle we wanted and told us to get 2, making us believe that it was part of the pre-fixe, nope soufles are seperate and we were so full from dinner we could barely finish one.",waiter negative <sep> pre-fixe neutral <sep> dinner neutral
0,0,We placed a delivery order - 2 pastas and a caprese and they took and 1 1/2 to get here and the food was inedible when we received it.,delivery neutral <sep> food negative
0,0,"The Food This Cajun-Italian menu is lengthier than its Manhattan counterparts--here, adventuresome diners can still design their own pies, but they can also feast on oversized plates of peel-and-eat old bay shrimp and cajun spaghetti with meatballs enlivened with andouille sausage.",Cajun-Italian menu positive <sep> diners positive <sep> plates positive <sep> cajun spaghetti with meatballs enlivened neutral
0,0,"To top it off, when we mentioned it to our lovely waitress, she responded as though it was no big deal along with Well now you know for the next time.",waitress positive <sep> time neutral
0,0,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",portions negative <sep> service positive
0,0,"The Scene With its long zinc bar, plush couches and patterned suede walls, the lounge is a swank spot for midtown's cocktail crowd.",Scene positive <sep> bar neutral
0,0,Our waiter was less then welcoming when taking our drink orders (apparently he doesn't like beer or milkshakes).,waiter negative <sep> drink neutral <sep> beer negative
0,0,"Our waitress brought him a regular coke instead of a diet coke, and the salsa had OIL floating at the top.",waitress negative <sep> salsa neutral
0,0,"We were hassled about seating by our waiter who seemed at the end of his pony-tail, so we opted for the bar, quaintly decorated with giant fly strips.",waiter negative <sep> bar neutral
0,0,"Since I listened closely, I know they were a party of 2 without any reservation The manager then offered to seat us but we left.",reservation neutral <sep> manager negative
0,0,"The waiter told us that he had checked with the kitchen because he noticed that we had not gotten our dinners and they said it would be out shortly, shouldn't someone have said something to us?",waiter negative <sep> dinners neutral
0,0,Bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).,Bartenders negative <sep> beer neutral
0,0,It would have been nice to find that out on the website but it took us an hour of waiting for Godot before calling and being told the news that no lunch was prepared for us.,waiting neutral <sep> lunch negative
0,0,I really like the decor and it made it feel like I was having drinks at a mansion.,decor positive <sep> drinks neutral
0,0,"The owner has taken over three dining tables for her computer, adding machine, phone and assorted and untidy papers.",dining tables neutral <sep> papers negative
0,0,"but when tables began to clear up, it seemed polite to seat us comfortably in the dining area instead of having us twist our backs to talk, perched on bulky high chairs at the bar with no place to put our handbags (which the waiter happened to drop and expose contents later on).",tables neutral <sep> chairs neutral <sep> bar neutral <sep> waiter negative
0,0,"Instead of doing so, the manager came to our table and told us he'd be happy to take our orders off if we didn't like the way he ran his restaurant.",manager positive <sep> table neutral
0,0,"I have to say that I've been there only during brunch time but the service even though slow, it was good.",brunch neutral <sep> service negative
0,0,"it was really good, but i also mistakenly chose the lobster course as my entre and it turned out to be the same dish as my appetizer (but warmed).",lobster course negative <sep> dish neutral <sep> appetizer positive
0,0,"00 bottle of wine, we had to endure the waiter's attitude, like he was doing us a solid, if you're into huge Euro crowds and don't care about what you eat and how it is served to you, Baraonda is your kind of place.",attitude neutral <sep> crowds negative
0,0,We tried to place the order and the waiter had no clue what we wanted even though we pointed it out on the menu.,waiter negative <sep> menu neutral
0,0,I was NOT told this before when I made the reservation and explained to the manager RICHARD who has the poorest customer service ever and rude and said he didn't believe me.,reservation neutral <sep> manager negative <sep> service negative
0,0,"The irony of it all is that I tried the fish and chips at a sports bar across the street the following week, 1/2 the price (w/ fries included), and the portion was bigger and much tastier.",chips neutral <sep> bar neutral <sep> price neutral <sep> w/ fries neutral <sep> portion positive
0,0,"their Stella on tap was almost flat, i saw the bartender whisking our beers to give them any sort of head.",tap neutral <sep> bartender negative
0,0,"We went in March'03 on Sunday - the food was just so-so, but we had to beg for a glass of water (and never got it anyway), but the worst part - the forks and knives were totally dirty (you could see someone's scrambled eggs on them).",glass of water neutral <sep> eggs negative
0,0,"The place is small, or at lease it felt that way b/c tables were right on top of each other.",place negative <sep> tables neutral
0,0,We told the waitress we'd like the fries hot with our main courses but she only ordered more once the rest of the food had arrived so we didn't get them until we were half way through.,waitress negative <sep> fries neutral <sep> main courses neutral <sep> food neutral
