review_id,sentences_ids,sentences_texts,sentences_opinions
0,0,We had some sorta of kobe sashimi salad with coconut shavings which was phenomenol and a lobster ravioli.,kobe sashimi salad with coconut shavings positive <sep> lobster ravioli neutral
0,0,My friends and I went to dinner last weekend and had a great time.,dinner neutral <sep> time positive
0,0,The Food The best homestyle Italian cooking and service (Menu?,Food neutral <sep> homestyle Italian cooking positive <sep> service positive
0,0,"The waitress, host, and bus staff were sitting around at the bar while the patrons were all complaining about the service.",waitress negative <sep> host negative <sep> staff negative <sep> bar neutral <sep> patrons neutral <sep> service negative
0,0,The hostess SLOWLY walked by our table scribbing something on paper.,hostess negative <sep> table neutral
0,0,i went here on a whim and found out you could get sushi for half price kind of like happy hour.,sushi neutral <sep> price positive
0,0,The menu was much too narrow - 4 pastas and 6 meat dishes or so.,menu positive <sep> meat dishes neutral
0,0,We ordered the Tuna a la carte and Wild Salmon and chicken breast on the Prix Fixe.,Tuna a la carte positive <sep> Wild Salmon and chicken breast positive <sep> Prix Fixe neutral
0,0,"after dinner we went downstairs atmosphere was completely different , nice crowd , we stayed there more time than expected.",dinner neutral <sep> atmosphere positive
0,0,When we asked the waiter for water - he gave us dirty looks and it took at least 15 minutes to get it.,waiter negative <sep> water neutral
0,0,if you do though just wait at the bar (yummy drinks!,bar neutral <sep> drinks positive
0,0,"Food is decent but portions so small that after 5 appetizers, 2 sides and three entrees, the three of us left still hungry!",portions negative <sep> appetizers neutral <sep> sides neutral <sep> entrees neutral
0,0,"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations neutral <sep> hostess negative
0,0,"An order of roast chicken is nicely crisped and moist, although the potato cubes alongside are limp.",roast chicken positive <sep> potato cubes negative
0,0,"Great when the band is playing, not so great when there's a large party at the bar.",band positive <sep> bar neutral
0,0,"We ordered off the restaurant week menu, which at other establishments means automatic second-rate service, but not here.",menu neutral <sep> service negative
0,0,Hostess was extremely accommodating when we arrived an hour early for our reservation.,Hostess positive <sep> reservation neutral
0,0,"The lunch specials are reasonably priced, but I avoid this place when I can only order off the regular menu.",lunch specials neutral <sep> priced positive <sep> menu neutral
0,0,"The tables are a little too close together, but when the food is this good it's difficult to be distracted.",tables negative <sep> food positive
0,0,Still the bill was close to $300(with 1 bottle of lower-priced wine).,bill neutral <sep> wine positive
0,0,But when the bartender messes up the returned drinks something is wrong.,bartender negative <sep> drinks neutral
0,0,our dinner was marred by painfully slow service.,dinner neutral <sep> service negative
0,0,The host greeted us warmly and eagerly and the wait staff was just as receptive.,host positive <sep> wait staff negative
0,0,The spaghetti with ricotta cheese is hands down my favorite thing on the menu and I am big fan of the house wine.,spaghetti with ricotta cheese positive <sep> menu neutral
0,0,The best out of the three entree's we had was the goat cheese ravioli.,entree neutral <sep> goat cheese ravioli positive
0,0,The happy hour crowd at the bar was mostly just out of worker blowing off steam.,crowd positive <sep> bar neutral
0,0,We had a 9:30pm reservation for two which stretched out to an hour wait.,reservation neutral <sep> wait negative
0,0,Particularly good is the chicken verde burrito with a refreshingly spicy salsa that avoids the heat overkill.,chicken verde burrito positive <sep> overkill negative
0,0,"Tables are a little cramped, but dinner or lunch for 2 is fine.",Tables negative <sep> dinner neutral
0,0,"We ordered two appetizers and two entrees and were absolutely stuffed, we couldn't even finish our meals.",appetizers neutral <sep> entrees neutral <sep> meals negative
0,0,Brunch at Cafe des Artistes was hands down the most terrible dining experience I have had in New York.,Brunch neutral <sep> dining negative
0,0,"our waiter noticed it was my bday w/o me saying, and brought me cake w/ candles.",waiter positive <sep> candles neutral
0,0,Our waiter brought the wrong dinner for me (shrimp provencal instead of the salmon) but then comped my meal with no question.,waiter negative <sep> dinner negative <sep> salmon neutral <sep> meal neutral
0,0,A few of us went the other night for cocktails (half price!),cocktails neutral <sep> price positive
0,0,"The salad I received was Iceberg lettuce with nothing else in it (no tomatoes, carrots).",salad neutral <sep> Iceberg lettuce neutral <sep> carrots negative
0,0,"BBQ is ordinal, and cole slaw is not even worth trying.",BBQ neutral <sep> cole slaw negative
