Predicted sentiment tags,Gold sentiment tags
[],"[(0, 3, 'NEU'), (5, 10, 'POS'), (53, 61, 'POS')]"
"[(25, 29, 'NEU')]","[(25, 29, 'NEU'), (40, 47, 'NEG'), (65, 68, 'NEU')]"
"[(44, 51, 'POS'), (11, 13, 'POS')]","[(0, 4, 'POS'), (94, 98, 'NEU')]"
"[(17, 27, 'NEU'), (53, 56, 'NEU')]","[(46, 51, 'NEG'), (86, 91, 'NEU')]"
[],"[(10, 13, 'NEU'), (51, 55, 'POS')]"
"[(5, 8, 'NEU')]","[(5, 8, 'POS'), (22, 28, 'NEG')]"
[],"[(33, 39, 'POS'), (41, 45, 'POS'), (55, 59, 'NEG')]"
"[(34, 42, 'NEU')]","[(13, 21, 'NEU'), (58, 62, 'POS'), (91, 94, 'POS')]"
"[(75, 80, 'POS'), (126, 128, 'POS'), (172, 177, 'POS'), (0, 14, 'NEU'), (118, 124, 'NEG'), (29, 38, 'NEG')]","[(0, 19, 'NEU'), (68, 80, 'POS'), (87, 116, 'NEU'), (118, 128, 'NEU'), (130, 142, 'NEU'), (144, 149, 'NEU'), (151, 162, 'NEU'), (172, 177, 'POS')]"
"[(0, 4, 'NEU'), (44, 47, 'NEG'), (49, 52, 'NEU'), (131, 139, 'NEG')]","[(6, 11, 'POS'), (30, 33, 'NEU'), (54, 61, 'NEG')]"
[],"[(0, 8, 'POS'), (31, 54, 'NEU'), (56, 92, 'NEU')]"
"[(22, 26, 'POS'), (49, 49, 'NEG')]","[(11, 16, 'POS'), (18, 20, 'POS'), (22, 33, 'NEU')]"
"[(43, 46, 'POS')]","[(0, 4, 'NEU'), (12, 17, 'NEG'), (23, 27, 'NEU'), (29, 35, 'NEU')]"
[],"[(17, 26, 'NEG'), (53, 55, 'NEU')]"
"[(0, 3, 'NEG')]","[(23, 26, 'NEU'), (45, 49, 'NEG')]"
"[(92, 98, 'POS'), (53, 59, 'NEU')]","[(0, 7, 'NEG'), (16, 21, 'NEU'), (63, 66, 'NEU')]"
"[(0, 6, 'NEU'), (44, 48, 'NEU'), (59, 61, 'NEU')]","[(26, 32, 'NEU'), (34, 37, 'NEU'), (50, 53, 'POS')]"
[],"[(15, 18, 'NEG'), (20, 27, 'NEU'), (29, 35, 'NEU')]"
"[(45, 47, 'NEG'), (114, 118, 'POS'), (0, 4, 'POS'), (6, 9, 'NEG'), (22, 27, 'NEG')]","[(0, 9, 'POS'), (60, 75, 'NEU'), (169, 175, 'POS')]"
"[(34, 37, 'NEU'), (10, 20, 'NEG')]","[(0, 3, 'NEU'), (34, 37, 'POS')]"
"[(0, 5, 'NEU')]","[(0, 5, 'NEU'), (29, 39, 'POS'), (41, 44, 'POS')]"
"[(66, 71, 'NEU')]","[(0, 6, 'NEU'), (8, 12, 'NEU'), (24, 28, 'NEU'), (66, 71, 'NEG')]"
"[(12, 15, 'POS'), (7, 10, 'NEU')]","[(17, 19, 'NEU'), (43, 47, 'POS')]"
"[(28, 30, 'NEU')]","[(0, 3, 'POS'), (11, 16, 'POS'), (53, 57, 'NEU')]"
"[(15, 20, 'NEG')]","[(5, 13, 'POS'), (16, 28, 'NEU'), (30, 40, 'NEU'), (42, 58, 'NEU'), (73, 77, 'POS')]"
[],"[(28, 33, 'NEU'), (41, 45, 'NEU'), (65, 74, 'POS')]"
"[(36, 43, 'NEG')]","[(0, 8, 'POS'), (10, 19, 'POS'), (62, 72, 'POS'), (36, 43, 'NEU')]"
"[(43, 46, 'NEG'), (56, 63, 'NEG'), (22, 32, 'NEU'), (14, 20, 'NEU'), (65, 69, 'POS')]","[(5, 12, 'POS'), (14, 20, 'POS'), (43, 46, 'NEG')]"
[],"[(13, 18, 'NEU'), (42, 48, 'NEG')]"
[],"[(2, 5, 'POS'), (18, 22, 'NEG')]"
[],"[(10, 16, 'POS'), (36, 39, 'NEU')]"
"[(49, 50, 'NEU'), (24, 27, 'POS')]","[(0, 6, 'NEG'), (36, 47, 'NEU')]"
"[(48, 53, 'NEG'), (55, 58, 'NEG'), (18, 25, 'NEU')]","[(8, 14, 'NEG'), (48, 51, 'NEU'), (55, 63, 'NEG')]"
"[(59, 63, 'POS'), (75, 83, 'NEU'), (42, 45, 'NEG')]","[(0, 5, 'POS'), (65, 69, 'NEU')]"
[],"[(18, 21, 'POS'), (23, 46, 'NEU'), (53, 58, 'NEU'), (60, 62, 'NEU')]"
[],"[(5, 10, 'NEU'), (12, 16, 'NEG')]"
"[(63, 71, 'NEU'), (73, 80, 'NEG')]","[(51, 56, 'NEG'), (82, 85, 'NEU')]"
"[(21, 23, 'NEU'), (107, 114, 'NEU')]","[(0, 3, 'POS'), (78, 84, 'NEU'), (107, 114, 'NEU')]"
"[(39, 50, 'POS'), (71, 85, 'NEU'), (87, 91, 'NEU'), (9, 16, 'POS')]","[(0, 7, 'NEU'), (27, 37, 'POS'), (87, 91, 'POS')]"
"[(39, 44, 'NEU'), (8, 12, 'POS'), (20, 25, 'POS')]","[(14, 17, 'POS'), (46, 49, 'NEU')]"
"[(18, 21, 'POS'), (9, 16, 'POS')]","[(9, 16, 'NEG'), (40, 44, 'NEU')]"
[],"[(24, 27, 'POS'), (34, 38, 'NEU')]"
"[(37, 42, 'NEU')]","[(11, 17, 'NEG'), (19, 22, 'NEG'), (68, 73, 'NEU')]"
"[(18, 23, 'NEU'), (11, 16, 'POS'), (25, 27, 'NEU'), (0, 4, 'NEG')]","[(0, 4, 'POS'), (29, 33, 'NEG')]"
"[(52, 53, 'NEG'), (26, 34, 'NEU')]","[(0, 24, 'NEU'), (26, 34, 'NEU'), (36, 53, 'POS')]"
[],"[(5, 16, 'NEU'), (18, 22, 'NEG')]"
"[(47, 54, 'POS')]","[(31, 35, 'NEU'), (56, 58, 'POS')]"
"[(0, 5, 'POS')]","[(50, 60, 'NEU'), (64, 74, 'POS')]"
"[(7, 14, 'NEG')]","[(7, 14, 'NEG'), (26, 30, 'NEU')]"
"[(10, 12, 'NEU'), (47, 52, 'NEG')]","[(14, 16, 'NEU'), (41, 45, 'NEG')]"
[],"[(14, 22, 'NEG'), (35, 48, 'NEU')]"
[],"[(8, 20, 'NEG'), (29, 37, 'NEG'), (39, 41, 'POS'), (43, 52, 'POS')]"
"[(56, 59, 'POS'), (28, 32, 'NEG')]","[(0, 6, 'NEU'), (13, 17, 'NEU'), (56, 59, 'NEG')]"
"[(23, 29, 'NEU'), (10, 15, 'POS'), (57, 63, 'POS'), (65, 71, 'NEG')]","[(23, 29, 'POS'), (52, 55, 'NEG')]"
"[(38, 41, 'NEU')]","[(0, 5, 'POS'), (23, 26, 'NEU')]"
[],"[(0, 5, 'POS'), (72, 75, 'NEU')]"
"[(29, 32, 'NEG'), (17, 22, 'NEG')]","[(4, 9, 'NEG'), (24, 27, 'POS')]"
[],"[(0, 11, 'NEG'), (48, 52, 'NEU')]"
"[(34, 40, 'NEG'), (48, 52, 'POS')]","[(17, 23, 'NEG'), (42, 52, 'NEU')]"
"[(81, 85, 'NEG'), (72, 79, 'POS'), (40, 44, 'NEU')]","[(0, 4, 'POS'), (21, 26, 'POS'), (87, 93, 'NEU'), (95, 100, 'NEU'), (106, 109, 'NEU')]"
