Predicted sentiment tags,Gold sentiment tags
[],"[(10, 13, 'NEU'), (51, 55, 'POS')]"
[],"[(5, 8, 'POS'), (22, 28, 'NEG')]"
"[(27, 31, 'NEU')]","[(33, 39, 'POS'), (41, 45, 'POS'), (55, 59, 'NEG')]"
"[(86, 92, 'POS'), (41, 48, 'POS')]","[(0, 8, 'POS'), (31, 54, 'NEU'), (56, 92, 'NEU')]"
"[(67, 73, 'NEG')]","[(11, 16, 'POS'), (18, 20, 'POS'), (22, 33, 'NEU')]"
"[(6, 10, 'NEU')]","[(0, 4, 'NEU'), (12, 17, 'NEG'), (23, 27, 'NEU'), (29, 35, 'NEU')]"
[],"[(17, 26, 'NEG'), (53, 55, 'NEU')]"
"[(0, 3, 'NEU')]","[(23, 26, 'NEU'), (45, 49, 'NEG')]"
[],"[(26, 32, 'NEU'), (34, 37, 'NEU'), (50, 53, 'POS')]"
"[(10, 13, 'NEU')]","[(15, 18, 'NEG'), (20, 27, 'NEU'), (29, 35, 'NEU')]"
"[(28, 32, 'NEU')]","[(0, 3, 'NEU'), (34, 37, 'POS')]"
"[(17, 23, 'POS')]","[(0, 5, 'NEU'), (29, 39, 'POS'), (41, 44, 'POS')]"
"[(14, 18, 'POS'), (40, 45, 'NEU'), (20, 22, 'POS')]","[(0, 6, 'NEU'), (8, 12, 'NEU'), (24, 28, 'NEU'), (66, 71, 'NEG')]"
"[(49, 53, 'POS'), (7, 10, 'NEU')]","[(17, 19, 'NEU'), (43, 47, 'POS')]"
[],"[(0, 3, 'POS'), (11, 16, 'POS'), (53, 57, 'NEU')]"
[],"[(5, 13, 'POS'), (16, 28, 'NEU'), (30, 40, 'NEU'), (42, 58, 'NEU'), (73, 77, 'POS')]"
"[(5, 11, 'POS'), (28, 33, 'NEG')]","[(28, 33, 'NEU'), (41, 45, 'NEU'), (65, 74, 'POS')]"
"[(45, 49, 'POS')]","[(0, 8, 'POS'), (10, 19, 'POS'), (62, 72, 'POS'), (36, 43, 'NEU')]"
"[(65, 69, 'NEG')]","[(5, 12, 'POS'), (14, 20, 'POS'), (43, 46, 'NEG')]"
[],"[(13, 18, 'NEU'), (42, 48, 'NEG')]"
[],"[(2, 5, 'POS'), (18, 22, 'NEG')]"
"[(24, 29, 'NEU')]","[(10, 16, 'POS'), (36, 39, 'NEU')]"
"[(29, 34, 'NEU'), (36, 42, 'NEU'), (12, 16, 'POS')]","[(0, 6, 'NEG'), (36, 47, 'NEU')]"
"[(18, 21, 'NEG'), (0, 6, 'NEU'), (48, 51, 'NEU')]","[(18, 21, 'POS'), (23, 46, 'NEU'), (53, 58, 'NEU'), (60, 62, 'NEU')]"
"[(12, 16, 'POS')]","[(5, 10, 'NEU'), (12, 16, 'NEG')]"
"[(18, 25, 'POS')]","[(0, 7, 'NEU'), (27, 37, 'POS'), (87, 91, 'POS')]"
"[(20, 25, 'POS')]","[(14, 17, 'POS'), (46, 49, 'NEU')]"
"[(40, 44, 'NEG')]","[(9, 16, 'NEG'), (40, 44, 'NEU')]"
"[(34, 38, 'NEU'), (11, 17, 'NEG')]","[(24, 27, 'POS'), (34, 38, 'NEU')]"
[],"[(0, 4, 'POS'), (29, 33, 'NEG')]"
"[(55, 59, 'NEG'), (61, 69, 'NEU'), (76, 81, 'NEG'), (83, 87, 'POS')]","[(0, 24, 'NEU'), (26, 34, 'NEU'), (36, 53, 'POS')]"
[],"[(5, 16, 'NEU'), (18, 22, 'NEG')]"
"[(43, 45, 'NEU'), (19, 19, 'NEG')]","[(31, 35, 'NEU'), (56, 58, 'POS')]"
[],"[(7, 14, 'NEG'), (26, 30, 'NEU')]"
[],"[(14, 16, 'NEU'), (41, 45, 'NEG')]"
