Predicted sentiment tags,Gold sentiment tags
[],"[(17, 21, 'POS')]"
[],"[(8, 14, 'NEU')]"
[],"[(0, 21, 'POS')]"
[],"[(19, 23, 'POS')]"
[],"[(6, 10, 'POS'), (24, 30, 'POS')]"
[],"[(7, 11, 'POS')]"
"[(16, 20, 'POS')]","[(5, 14, 'POS')]"
"[(0, 4, 'POS')]","[(0, 4, 'NEG')]"
[],"[(5, 8, 'POS')]"
[],"[(26, 29, 'POS')]"
[],"[(0, 4, 'POS')]"
[],"[(0, 9, 'POS')]"
[],"[(22, 25, 'NEG')]"
"[(51, 56, 'NEG')]","[(0, 12, 'NEG'), (45, 62, 'NEG')]"
[],"[(5, 12, 'POS'), (31, 35, 'NEG')]"
[],"[(6, 12, 'POS')]"
"[(39, 45, 'NEG')]","[(39, 45, 'NEG')]"
"[(60, 64, 'NEG')]","[(0, 5, 'NEG')]"
"[(0, 9, 'POS')]","[(11, 17, 'NEG')]"
"[(9, 15, 'POS')]","[(9, 20, 'POS')]"
[],"[(19, 26, 'POS')]"
"[(0, 4, 'POS')]","[(16, 33, 'POS')]"
"[(20, 23, 'NEG'), (5, 8, 'POS')]","[(0, 8, 'POS'), (20, 23, 'POS')]"
"[(5, 14, 'POS')]","[(5, 14, 'POS')]"
"[(56, 65, 'POS'), (0, 0, 'NEG')]","[(23, 26, 'POS'), (28, 34, 'POS'), (36, 43, 'POS')]"
[],"[(0, 8, 'POS'), (39, 42, 'POS'), (55, 59, 'POS')]"
"[(10, 12, 'POS')]","[(14, 18, 'POS')]"
"[(0, 3, 'POS')]","[(0, 3, 'POS')]"
[],"[(37, 40, 'POS')]"
[],"[(0, 10, 'POS')]"
"[(8, 11, 'POS')]","[(8, 11, 'POS')]"
"[(51, 55, 'POS')]","[(96, 99, 'POS'), (106, 112, 'POS')]"
"[(38, 45, 'NEG')]","[(0, 4, 'POS'), (33, 36, 'POS')]"
"[(32, 35, 'POS')]","[(15, 18, 'POS')]"
"[(6, 15, 'NEG')]","[(6, 15, 'POS'), (22, 25, 'NEG')]"
"[(0, 2, 'NEG')]","[(20, 23, 'NEG')]"
"[(20, 25, 'POS')]","[(0, 3, 'NEG'), (9, 12, 'NEG')]"
