Predicted sentiment tags,Gold sentiment tags
[],"[(0, 5, 'POS')]"
[],"[(13, 17, 'POS'), (54, 61, 'NEG')]"
[],"[(0, 7, 'POS')]"
[],"[(0, 4, 'POS')]"
[],"[(0, 3, 'POS'), (5, 11, 'POS'), (13, 20, 'POS')]"
"[(19, 24, 'NEG')]","[(17, 24, 'POS')]"
[],"[(8, 13, 'POS')]"
"[(50, 62, 'POS')]","[(0, 5, 'POS'), (18, 22, 'POS'), (50, 60, 'POS')]"
"[(26, 35, 'POS')]","[(0, 4, 'POS'), (16, 24, 'POS')]"
"[(3, 9, 'NEG')]","[(0, 1, 'POS')]"
[],"[(0, 1, 'POS'), (19, 23, 'POS')]"
"[(54, 64, 'NEG'), (197, 201, 'NEG')]","[(0, 10, 'POS'), (161, 166, 'POS'), (178, 182, 'POS'), (54, 64, 'NEG')]"
[],"[(32, 42, 'POS'), (10, 20, 'POS'), (50, 57, 'POS')]"
"[(7, 12, 'NEG')]","[(0, 5, 'POS')]"
"[(8, 16, 'POS')]","[(0, 6, 'POS')]"
[],"[(0, 16, 'POS')]"
[],"[(0, 5, 'POS')]"
"[(0, 6, 'POS')]","[(0, 26, 'POS')]"
"[(6, 17, 'NEG')]","[(0, 4, 'POS')]"
"[(26, 27, 'NEG'), (15, 24, 'POS')]","[(0, 13, 'NEG')]"
[],"[(6, 10, 'POS')]"
"[(0, 4, 'POS')]","[(6, 10, 'POS')]"
[],"[(13, 19, 'POS'), (38, 42, 'POS')]"
[],"[(6, 9, 'NEG')]"
"[(34, 41, 'POS')]","[(8, 16, 'POS')]"
"[(8, 18, 'POS')]","[(8, 18, 'POS'), (20, 26, 'POS')]"
[],"[(47, 51, 'POS')]"
"[(0, 4, 'POS')]","[(0, 4, 'POS'), (14, 18, 'POS')]"
[],"[(10, 15, 'POS')]"
[],"[(0, 8, 'POS')]"
[],"[(0, 9, 'NEG')]"
"[(15, 18, 'POS')]","[(0, 13, 'POS')]"
[],"[(0, 7, 'NEU')]"
[],"[(0, 8, 'POS')]"
[],"[(0, 8, 'POS')]"
"[(53, 59, 'NEG')]","[(44, 51, 'POS'), (69, 77, 'POS')]"
"[(31, 38, 'POS'), (62, 72, 'NEG')]","[(93, 110, 'POS')]"
"[(0, 3, 'NEG')]","[(16, 21, 'NEG')]"
[],"[(0, 3, 'POS')]"
[],"[(28, 37, 'POS')]"
"[(0, 10, 'POS'), (12, 15, 'POS'), (55, 60, 'POS')]","[(0, 10, 'POS'), (43, 48, 'NEG')]"
[],"[(13, 16, 'NEG')]"
[],"[(0, 6, 'POS'), (21, 24, 'NEG')]"
[],"[(0, 10, 'POS')]"
"[(14, 21, 'POS')]","[(8, 12, 'POS')]"
[],"[(6, 11, 'NEU')]"
"[(17, 19, 'POS')]","[(0, 7, 'NEG')]"
"[(0, 4, 'POS'), (33, 37, 'NEG')]","[(39, 44, 'POS'), (51, 58, 'POS'), (66, 74, 'POS')]"
[],"[(0, 7, 'POS')]"
[],"[(0, 4, 'POS')]"
[],"[(0, 6, 'POS')]"
"[(17, 21, 'NEG'), (7, 15, 'POS')]","[(0, 5, 'POS'), (17, 21, 'POS')]"
"[(0, 4, 'POS'), (6, 9, 'POS')]","[(37, 47, 'POS')]"
[],"[(29, 36, 'POS'), (52, 59, 'POS'), (61, 68, 'POS')]"
"[(8, 15, 'POS')]","[(25, 29, 'POS'), (45, 48, 'NEG')]"
"[(0, 4, 'POS')]","[(6, 25, 'POS')]"
[],"[(44, 49, 'POS'), (61, 68, 'NEU')]"
[],"[(0, 7, 'POS'), (26, 31, 'POS')]"
"[(52, 59, 'NEG'), (93, 96, 'POS'), (67, 72, 'POS'), (116, 117, 'POS'), (4, 14, 'POS'), (105, 114, 'POS')]","[(38, 45, 'POS'), (52, 59, 'POS'), (67, 72, 'POS')]"
[],"[(31, 38, 'POS'), (46, 51, 'POS')]"
[],"[(37, 43, 'POS')]"
[],"[(0, 10, 'POS')]"
[],"[(3, 8, 'POS'), (10, 17, 'POS')]"
"[(10, 15, 'POS'), (45, 53, 'POS')]","[(10, 15, 'POS'), (24, 31, 'NEG')]"
[],"[(7, 12, 'POS')]"
"[(10, 13, 'POS'), (44, 48, 'POS')]","[(0, 8, 'POS'), (15, 27, 'NEG')]"
[],"[(0, 7, 'NEG')]"
"[(35, 38, 'POS')]","[(0, 12, 'NEG')]"
"[(0, 4, 'POS'), (20, 26, 'NEU')]","[(0, 4, 'POS'), (28, 35, 'POS'), (76, 80, 'NEG')]"
[],"[(0, 5, 'POS'), (7, 18, 'POS'), (20, 27, 'POS')]"
[],"[(0, 5, 'POS'), (7, 11, 'POS')]"
[],"[(0, 7, 'POS')]"
[],"[(0, 5, 'POS'), (33, 44, 'POS')]"
"[(22, 28, 'POS'), (30, 35, 'POS')]","[(37, 43, 'NEU')]"
"[(43, 48, 'NEG')]","[(0, 4, 'POS'), (43, 48, 'NEG')]"
"[(0, 0, 'NEG'), (18, 21, 'POS'), (39, 46, 'POS')]","[(18, 33, 'NEG')]"
"[(17, 25, 'NEG'), (27, 30, 'POS')]","[(0, 15, 'POS')]"
"[(44, 49, 'POS'), (118, 124, 'POS'), (0, 4, 'POS'), (15, 25, 'POS'), (103, 106, 'POS')]","[(16, 62, 'NEG')]"
[],"[(21, 36, 'NEU')]"
[],"[(15, 25, 'NEG')]"
"[(10, 11, 'NEU')]","[(13, 21, 'NEG')]"
"[(122, 128, 'POS'), (20, 25, 'POS'), (52, 58, 'POS'), (33, 39, 'POS'), (105, 110, 'NEG'), (41, 50, 'NEG')]","[(9, 25, 'NEU'), (27, 39, 'NEU'), (60, 72, 'NEU'), (74, 91, 'NEU')]"
[],"[(14, 21, 'POS')]"
