Predicted idx,Gold idx
[],"[(19, 29), (57, 62), (75, 78)]"
[],"[(0, 5), (17, 23), (25, 28), (30, 35), (44, 49), (62, 82)]"
"[(0, 9)]","[(0, 9)]"
"[(57, 68), (111, 118)]","[(57, 68)]"
"[(46, 49)]","[(9, 16)]"
"[(13, 18)]","[(0, 4)]"
[],"[(26, 41), (45, 48), (70, 77)]"
"[(38, 45)]","[(11, 19)]"
"[(20, 20), (130, 136), (191, 195), (263, 268), (300, 309)]","[(22, 27), (149, 162)]"
[],"[(0, 7)]"
"[(4, 9), (11, 19)]","[(21, 28)]"
"[(21, 29)]","[(21, 29)]"
"[(10, 21)]","[(10, 21)]"
"[(42, 49), (51, 53)]","[(42, 49)]"
"[(40, 51)]","[(22, 30)]"
"[(107, 119)]","[(0, 8)]"
"[(10, 15)]","[(0, 8)]"
"[(53, 56)]","[(29, 40), (53, 56), (58, 65), (77, 80)]"
"[(18, 26)]","[(18, 26), (61, 66)]"
[],"[(17, 23)]"
"[(89, 94)]","[(12, 28)]"
"[(27, 33), (48, 53)]","[(8, 18), (35, 40), (83, 89)]"
"[(21, 25), (44, 55)]","[(0, 19), (37, 42), (64, 69)]"
[],"[(0, 7)]"
"[(0, 5), (7, 12)]","[(7, 12)]"
"[(9, 19)]","[(9, 19)]"
[],"[(0, 8)]"
[],"[(44, 55)]"
"[(7, 11)]","[(7, 11)]"
"[(10, 16)]","[(10, 16)]"
[],"[(0, 5)]"
"[(15, 20), (36, 42), (67, 72)]","[(0, 5), (15, 20)]"
[],"[(0, 7)]"
[],"[(5, 13)]"
"[(37, 41), (43, 48), (59, 67), (69, 74)]","[(43, 48)]"
[],"[(0, 11)]"
"[(20, 24)]","[(0, 7)]"
"[(9, 18)]","[(20, 29)]"
[],"[(0, 8)]"
[],"[(21, 28), (42, 50)]"
[],"[(0, 3), (36, 39)]"
"[(23, 29)]","[(0, 5)]"
[],"[(9, 13)]"
"[(6, 15), (17, 22), (35, 41), (49, 57), (59, 70)]","[(24, 33), (43, 47), (59, 70)]"
[],"[(0, 11)]"
[],"[(33, 40)]"
"[(25, 30), (49, 56)]","[(0, 2), (25, 30), (34, 41)]"
"[(44, 50)]","[(18, 29), (44, 50)]"
"[(19, 27), (29, 39)]","[(51, 55)]"
"[(8, 15), (34, 40), (59, 65)]","[(8, 32), (42, 57)]"
[],"[(20, 24)]"
"[(158, 163), (165, 171)]","[(4, 16), (118, 133)]"
"[(61, 62)]","[(34, 53)]"
"[(52, 56)]","[(0, 7), (27, 36)]"
"[(18, 21), (38, 42), (68, 75), (77, 89)]","[(38, 42)]"
"[(0, 6), (12, 16), (33, 42)]","[(8, 10)]"
"[(37, 42), (164, 171)]","[(37, 42)]"
"[(18, 25), (36, 42), (44, 48), (50, 57)]","[(0, 6)]"
[],"[(0, 2), (28, 32)]"
[],"[(0, 7)]"
"[(22, 26)]","[(10, 14), (28, 31)]"
[],"[(0, 3)]"
[],"[(22, 25), (50, 62)]"
"[(4, 9), (26, 32)]","[(0, 9), (19, 24)]"
[],"[(27, 35)]"
"[(27, 37)]","[(22, 25)]"
"[(22, 32), (68, 74)]","[(0, 11), (34, 41)]"
"[(9, 21), (40, 41), (48, 55)]","[(0, 7), (48, 55)]"
"[(9, 16), (39, 47)]","[(29, 35)]"
"[(0, 2)]","[(23, 30), (32, 43), (45, 49)]"
"[(33, 36)]","[(0, 12)]"
"[(114, 120), (134, 142), (150, 157)]","[(21, 23), (68, 75), (90, 94), (114, 125)]"
[],"[(21, 34), (36, 39)]"
[],"[(38, 46), (57, 70), (89, 100)]"
"[(18, 22), (29, 36)]","[(0, 7)]"
"[(57, 61), (98, 105), (107, 112)]","[(28, 39)]"
"[(77, 86), (94, 98), (120, 129)]","[(17, 19), (21, 25), (111, 118)]"
"[(27, 35), (37, 46), (86, 98)]","[(27, 35)]"
"[(29, 34)]","[(36, 48)]"
[],"[(15, 26), (36, 41), (63, 71)]"
"[(34, 42)]","[(15, 26), (28, 42), (44, 47)]"
[],"[(42, 57), (60, 82)]"
[],"[(0, 5), (22, 44)]"
[],"[(15, 23)]"
[],"[(0, 7)]"
"[(24, 30)]","[(24, 30)]"
"[(5, 11)]","[(5, 11)]"
[],"[(0, 7)]"
[],"[(23, 28)]"
"[(0, 11)]","[(0, 11)]"
"[(20, 28)]","[(6, 18), (56, 61)]"
[],"[(14, 17)]"
