Predicted sentiment tags,Gold sentiment tags
[],"[(13, 29, 'NEG'), (31, 34, 'NEU')]"
[],"[(0, 3, 'NEU'), (8, 14, 'POS')]"
"[(0, 5, 'NEU')]","[(11, 15, 'NEU'), (23, 31, 'NEU'), (37, 44, 'POS')]"
"[(115, 118, 'NEU'), (30, 33, 'POS')]","[(35, 39, 'NEU'), (58, 61, 'NEU'), (89, 96, 'NEU'), (142, 145, 'POS')]"
[],"[(0, 5, 'NEU'), (17, 21, 'POS')]"
"[(73, 76, 'NEU')]","[(0, 7, 'NEG'), (16, 21, 'NEU'), (63, 66, 'NEU')]"
[],"[(14, 19, 'POS'), (88, 91, 'NEU')]"
"[(7, 10, 'NEU')]","[(37, 40, 'NEG'), (55, 59, 'NEU')]"
"[(19, 22, 'NEG'), (0, 7, 'NEU')]","[(0, 7, 'NEG'), (14, 17, 'NEU'), (39, 42, 'NEU')]"
"[(0, 2, 'POS'), (52, 55, 'POS'), (44, 50, 'NEG')]","[(4, 9, 'NEU'), (52, 55, 'POS')]"
"[(56, 60, 'NEU'), (46, 50, 'POS')]","[(0, 10, 'NEU'), (37, 50, 'NEU'), (91, 97, 'POS')]"
"[(59, 63, 'NEG'), (0, 5, 'NEU')]","[(59, 63, 'POS'), (65, 70, 'NEU')]"
"[(68, 76, 'POS')]","[(6, 9, 'NEU'), (26, 33, 'POS')]"
[],"[(0, 5, 'NEG'), (28, 31, 'NEU'), (33, 37, 'NEU'), (50, 53, 'NEU'), (55, 60, 'NEU')]"
"[(62, 65, 'NEG')]","[(0, 3, 'POS'), (19, 27, 'POS'), (86, 94, 'NEU')]"
"[(59, 68, 'NEU')]","[(36, 41, 'NEU'), (76, 79, 'POS')]"
"[(38, 41, 'NEU')]","[(0, 5, 'NEG'), (43, 49, 'NEU'), (79, 82, 'NEG')]"
"[(61, 63, 'POS'), (19, 24, 'NEU'), (65, 68, 'NEG')]","[(19, 24, 'NEU'), (65, 68, 'POS')]"
[],"[(6, 13, 'NEU'), (27, 32, 'NEG'), (42, 45, 'NEU')]"
"[(0, 3, 'POS'), (95, 99, 'NEG'), (36, 45, 'NEG')]","[(0, 3, 'POS'), (78, 84, 'NEU'), (107, 114, 'NEU')]"
