Predicted idx,Gold idx
[],"[(13, 29), (31, 34)]"
[],"[(0, 3), (8, 14)]"
"[(0, 5)]","[(11, 15), (23, 31), (37, 44)]"
"[(30, 33), (115, 118)]","[(35, 39), (58, 61), (89, 96), (142, 145)]"
[],"[(0, 5), (17, 21)]"
"[(73, 76)]","[(0, 7), (16, 21), (63, 66)]"
[],"[(14, 19), (88, 91)]"
"[(7, 10)]","[(37, 40), (55, 59)]"
"[(0, 7), (19, 22)]","[(0, 7), (14, 17), (39, 42)]"
"[(0, 2), (44, 50), (52, 55)]","[(4, 9), (52, 55)]"
"[(46, 50), (56, 60)]","[(0, 10), (37, 50), (91, 97)]"
"[(0, 5), (59, 63)]","[(59, 63), (65, 70)]"
"[(68, 76)]","[(6, 9), (26, 33)]"
[],"[(0, 5), (28, 31), (33, 37), (50, 53), (55, 60)]"
"[(62, 65)]","[(0, 3), (19, 27), (86, 94)]"
"[(59, 68)]","[(36, 41), (76, 79)]"
"[(38, 41)]","[(0, 5), (43, 49), (79, 82)]"
"[(19, 24), (61, 63), (65, 68)]","[(19, 24), (65, 68)]"
[],"[(6, 13), (27, 32), (42, 45)]"
"[(0, 3), (36, 45), (95, 99)]","[(0, 3), (78, 84), (107, 114)]"
"[(19, 27)]","[(11, 41), (72, 78)]"
"[(31, 36), (38, 41), (51, 55), (57, 60)]","[(0, 7), (15, 17), (51, 55)]"
[],"[(0, 4), (31, 36)]"
[],"[(0, 4), (13, 16)]"
[],"[(5, 16), (18, 22)]"
"[(4, 8)]","[(10, 14), (28, 34)]"
[],"[(0, 6), (8, 12), (24, 28), (66, 71)]"
"[(0, 2)]","[(15, 19), (48, 54)]"
"[(0, 5), (7, 12), (21, 24), (28, 31), (33, 36)]","[(14, 19), (28, 31)]"
[],"[(25, 30), (73, 78)]"
"[(81, 86)]","[(0, 5), (55, 61)]"
"[(13, 15), (49, 52)]","[(0, 3), (5, 11), (44, 47), (58, 60)]"
"[(12, 14), (16, 21)]","[(0, 4), (29, 31), (41, 50)]"
"[(7, 14), (30, 33), (46, 50)]","[(0, 5), (40, 44), (79, 90)]"
[],"[(42, 46), (90, 95)]"
"[(26, 33), (35, 38)]","[(26, 33), (45, 48), (50, 54)]"
"[(0, 3), (62, 65)]","[(11, 15), (21, 24), (36, 39)]"
"[(0, 7), (17, 21), (35, 39)]","[(0, 7), (35, 39), (48, 52)]"
"[(16, 17), (52, 55), (57, 61)]","[(19, 26), (37, 49)]"
"[(9, 15)]","[(26, 37), (39, 56)]"
"[(0, 5), (76, 79), (81, 83), (85, 90)]","[(0, 11), (27, 33), (60, 64), (81, 90)]"
"[(4, 7), (21, 22)]","[(31, 35), (56, 58)]"
"[(102, 105)]","[(38, 44), (60, 68)]"
