Predicted sentiment tags,Gold sentiment tags
"[(0, 12, 'NEG'), (44, 61, 'NEG')]","[(0, 12, 'NEG'), (44, 61, 'NEG')]"
"[(36, 42, 'NEG')]","[(36, 42, 'NEG')]"
"[(0, 5, 'NEG')]","[(0, 5, 'NEG')]"
"[(9, 15, 'NEG')]","[(9, 15, 'NEG')]"
"[(0, 10, 'POS')]","[(0, 10, 'POS')]"
"[(91, 94, 'POS'), (101, 107, 'POS')]","[(91, 94, 'POS'), (101, 107, 'POS')]"
"[(15, 18, 'POS'), (0, 6, 'POS')]","[(15, 18, 'POS')]"
"[(0, 6, 'NEG')]","[(0, 6, 'POS')]"
"[(0, 3, 'POS'), (22, 29, 'NEG')]","[(0, 3, 'POS'), (11, 20, 'POS'), (22, 29, 'NEG')]"
"[(13, 16, 'POS'), (28, 32, 'POS')]","[(13, 16, 'POS')]"
"[(44, 58, 'POS'), (5, 13, 'POS')]","[(5, 13, 'POS'), (15, 28, 'POS'), (30, 42, 'POS'), (44, 58, 'POS')]"
"[(123, 133, 'POS'), (23, 41, 'POS'), (7, 21, 'POS')]","[(7, 21, 'POS'), (23, 41, 'POS'), (98, 133, 'POS')]"
"[(24, 27, 'POS')]","[(24, 27, 'POS')]"
"[(0, 3, 'NEG')]","[(0, 3, 'POS'), (0, 3, 'NEG')]"
"[(25, 28, 'NEG')]","[(25, 28, 'NEG')]"
"[(0, 16, 'POS')]","[(13, 16, 'POS')]"
"[(12, 27, 'POS')]","[(12, 27, 'POS')]"
"[(16, 21, 'POS'), (48, 56, 'POS')]","[(16, 21, 'POS')]"
"[(18, 27, 'NEG')]","[(18, 27, 'NEG')]"
"[(17, 20, 'POS')]","[(17, 20, 'POS')]"
"[(0, 3, 'NEG'), (44, 50, 'NEG'), (5, 10, 'NEG')]","[(0, 3, 'NEG'), (5, 10, 'NEG'), (44, 50, 'NEG')]"
"[(13, 25, 'POS')]","[(13, 25, 'NEG')]"
"[(18, 20, 'POS')]","[(18, 20, 'POS')]"
