Predicted idx,Gold idx
"[(0, 12), (44, 61)]","[(0, 12), (44, 61)]"
"[(36, 42)]","[(36, 42)]"
"[(0, 5)]","[(0, 5)]"
"[(9, 15)]","[(9, 15)]"
"[(0, 10)]","[(0, 10)]"
"[(91, 94), (101, 107)]","[(91, 94), (101, 107)]"
"[(0, 6), (15, 18)]","[(15, 18)]"
"[(0, 6)]","[(0, 6)]"
"[(0, 3), (22, 29)]","[(0, 3), (11, 20), (22, 29)]"
"[(13, 16), (28, 32)]","[(13, 16)]"
"[(5, 13), (44, 58)]","[(5, 13), (15, 28), (30, 42), (44, 58)]"
"[(7, 21), (23, 41), (123, 133)]","[(7, 21), (23, 41), (98, 133)]"
"[(24, 27)]","[(24, 27)]"
"[(0, 3)]","[(0, 3), (0, 3)]"
"[(25, 28)]","[(25, 28)]"
"[(0, 16)]","[(13, 16)]"
"[(12, 27)]","[(12, 27)]"
"[(16, 21), (48, 56)]","[(16, 21)]"
"[(18, 27)]","[(18, 27)]"
"[(17, 20)]","[(17, 20)]"
"[(0, 3), (5, 10), (44, 50)]","[(0, 3), (5, 10), (44, 50)]"
"[(13, 25)]","[(13, 25)]"
"[(18, 20)]","[(18, 20)]"
"[(6, 9), (23, 30), (41, 47)]","[(6, 9), (23, 30), (41, 47)]"
"[(0, 6), (18, 25)]","[(0, 6), (18, 25)]"
"[(39, 43)]","[(39, 43)]"
"[(50, 56)]","[(50, 56)]"
"[(4, 8)]","[(4, 8)]"
"[(32, 36)]","[(32, 36)]"
"[(14, 17)]","[(14, 17)]"
"[(5, 9)]","[(5, 9)]"
"[(31, 34), (81, 87)]","[(57, 66)]"
"[(18, 25)]","[(18, 25)]"
"[(5, 9)]","[(5, 9)]"
"[(30, 35)]","[(30, 35), (41, 51)]"
"[(0, 9), (36, 44)]","[(0, 9), (36, 44)]"
"[(23, 27), (34, 40)]","[(23, 27), (34, 40)]"
"[(0, 3), (28, 31)]","[(0, 3), (21, 31)]"
"[(0, 4), (30, 35), (48, 53)]","[(0, 4), (30, 35), (48, 53)]"
"[(5, 22)]","[(5, 22)]"
"[(7, 31)]","[(7, 31)]"
"[(24, 36)]","[(24, 30)]"
"[(0, 3), (54, 58)]","[(0, 3), (37, 46), (37, 46)]"
"[(33, 37), (39, 54)]","[(24, 31)]"
"[(6, 12)]","[(6, 12), (6, 12)]"
"[(0, 8), (0, 13)]","[(0, 13)]"
"[(6, 10)]","[(6, 10), (6, 10)]"
"[(26, 33), (102, 117)]","[(26, 57), (67, 70), (102, 117)]"
"[(33, 40)]","[(33, 40)]"
"[(19, 25)]","[(19, 25)]"
"[(0, 6)]","[(0, 6)]"
"[(0, 3)]","[(0, 3), (0, 3)]"
"[(32, 34)]","[(32, 34)]"
"[(5, 18), (20, 22)]","[(5, 18)]"
"[(26, 30)]","[(26, 30)]"
"[(4, 12), (14, 29)]","[(4, 29)]"
"[(0, 9)]","[(0, 9)]"
"[(20, 23), (38, 41)]","[(38, 41)]"
"[(7, 10)]","[(7, 10)]"
"[(24, 33)]","[(24, 33)]"
"[(0, 4)]","[(0, 4)]"
"[(47, 50)]","[(47, 50)]"
"[(16, 34)]","[(16, 34)]"
"[(38, 47)]","[(38, 47)]"
"[(62, 70)]","[(5, 9)]"
"[(0, 4)]","[(0, 4)]"
"[(0, 6), (56, 61)]","[(0, 6), (56, 61)]"
"[(0, 11), (34, 38), (92, 95)]","[(13, 18), (13, 18), (107, 110)]"
"[(23, 27)]","[(65, 69)]"
"[(0, 6)]","[(0, 6), (0, 6)]"
"[(0, 3)]","[(0, 3), (15, 17)]"
"[(52, 55)]","[(52, 55)]"
"[(54, 57), (93, 99)]","[(48, 57)]"
"[(46, 62), (95, 110), (170, 176), (232, 243)]","[(46, 62), (95, 110), (146, 156), (184, 192), (232, 243)]"
"[(0, 6)]","[(0, 6)]"
[],"[(17, 21)]"
"[(13, 25)]","[(13, 25)]"
"[(0, 3), (20, 23)]","[(0, 3), (5, 9), (50, 58)]"
"[(39, 46)]","[(25, 29), (39, 46), (65, 68)]"
"[(44, 49)]","[(44, 49), (84, 89)]"
"[(5, 8), (22, 28)]","[(5, 8), (22, 28)]"
"[(54, 58), (84, 87)]","[(13, 21), (54, 58), (84, 87)]"
"[(50, 57)]","[(5, 10), (27, 30), (50, 57)]"
"[(0, 4)]","[(0, 4), (12, 17), (23, 27), (29, 33)]"
"[(19, 22)]","[(19, 22), (41, 45)]"
"[(0, 7)]","[(0, 7), (16, 21), (62, 65)]"
"[(24, 30), (32, 35)]","[(24, 30), (32, 35), (48, 51)]"
"[(20, 27), (29, 35)]","[(15, 18), (20, 27), (29, 35)]"
"[(0, 9), (21, 35), (56, 71), (156, 162)]","[(0, 9), (56, 71), (156, 162)]"
"[(61, 70)]","[(26, 31), (39, 43), (61, 70)]"
"[(0, 6)]","[(0, 6), (36, 45)]"
"[(0, 5)]","[(0, 5), (62, 66)]"
"[(10, 14)]","[(3, 8), (10, 14)]"
"[(48, 53)]","[(48, 53), (76, 79)]"
"[(0, 6)]","[(14, 17), (45, 48)]"
"[(7, 14)]","[(7, 14), (37, 41)]"
"[(11, 17)]","[(11, 17), (19, 22), (64, 69)]"
"[(16, 20), (57, 60)]","[(45, 55), (57, 66)]"
"[(0, 6)]","[(0, 6), (13, 17), (52, 55)]"
"[(0, 5)]","[(0, 5), (23, 26)]"
"[(0, 5)]","[(0, 5), (66, 69)]"
"[(0, 4), (21, 26)]","[(0, 4), (21, 26), (87, 93), (95, 100), (106, 109)]"
"[(20, 24)]","[(5, 18), (30, 33), (44, 52)]"
"[(41, 46)]","[(41, 46), (62, 66)]"
"[(150, 157)]","[(5, 9), (12, 29), (66, 81), (122, 157)]"
"[(0, 5)]","[(0, 5), (35, 48)]"
"[(12, 21), (23, 32)]","[(12, 21), (34, 36)]"
"[(26, 31)]","[(26, 31), (57, 62)]"
"[(32, 36), (63, 66)]","[(32, 36), (57, 61), (63, 66)]"
"[(29, 33)]","[(5, 15), (29, 33)]"
"[(16, 20)]","[(11, 14), (16, 20)]"
"[(60, 64), (94, 111)]","[(37, 44), (104, 111)]"
"[(69, 75), (117, 122)]","[(69, 75), (89, 93)]"
"[(20, 24), (30, 43)]","[(20, 24), (30, 37)]"
"[(14, 19)]","[(14, 19), (29, 32)]"
"[(13, 16)]","[(48, 52), (63, 66)]"
"[(22, 25)]","[(22, 25), (38, 42)]"
"[(30, 37)]","[(4, 7), (9, 13), (30, 37)]"
"[(19, 24)]","[(0, 6), (19, 24), (67, 77)]"
"[(0, 5)]","[(0, 5), (35, 38)]"
"[(11, 14)]","[(0, 4), (11, 14)]"
"[(0, 5)]","[(0, 5), (18, 27), (29, 33), (65, 74)]"
"[(41, 45)]","[(41, 45), (84, 86)]"
"[(0, 7)]","[(0, 7), (14, 18), (62, 65)]"
"[(48, 51)]","[(38, 41), (48, 51)]"
"[(52, 59)]","[(4, 16), (42, 45), (52, 59), (72, 82)]"
"[(15, 19), (110, 115), (123, 133)]","[(34, 37), (71, 75), (129, 133)]"
"[(11, 16), (99, 102), (137, 141)]","[(11, 16), (29, 37), (60, 65), (99, 102), (121, 125), (137, 141)]"
[],"[(21, 26), (37, 41)]"
"[(4, 9)]","[(4, 9), (44, 48), (61, 67)]"
"[(67, 75)]","[(54, 57), (67, 75)]"
"[(0, 8)]","[(0, 8), (27, 30)]"
"[(29, 34)]","[(0, 4), (29, 34)]"
"[(13, 23), (81, 88)]","[(25, 39), (58, 61), (81, 88)]"
"[(24, 29)]","[(0, 6), (24, 29)]"
"[(16, 25)]","[(16, 25), (46, 49), (76, 79)]"
"[(4, 11)]","[(4, 11), (25, 30), (39, 42)]"
"[(0, 17), (58, 65)]","[(0, 17), (44, 56), (58, 61)]"
"[(56, 61)]","[(0, 8), (56, 61)]"
"[(32, 37)]","[(21, 26), (32, 37), (44, 49)]"
"[(5, 11)]","[(5, 11), (47, 51)]"
"[(38, 41)]","[(25, 27), (38, 41)]"
"[(25, 36)]","[(5, 10), (19, 23), (25, 36)]"
"[(24, 27)]","[(12, 16), (24, 27)]"
"[(0, 3), (10, 22), (39, 44)]","[(0, 3), (14, 22), (76, 84)]"
"[(12, 16), (33, 56), (83, 90)]","[(52, 56), (83, 90), (101, 117)]"
"[(33, 38)]","[(24, 31), (33, 38), (54, 59)]"
"[(36, 39), (41, 47)]","[(13, 18), (41, 47)]"
"[(16, 22), (45, 82)]","[(0, 14), (16, 22), (45, 82)]"
"[(0, 5), (18, 23)]","[(0, 5), (18, 23), (44, 53)]"
"[(41, 49)]","[(29, 34), (41, 49)]"
"[(56, 63)]","[(56, 63), (76, 87), (100, 102)]"
"[(24, 27)]","[(8, 18), (24, 27)]"
"[(6, 11), (13, 17), (54, 58)]","[(6, 11), (6, 17)]"
"[(49, 64), (77, 86)]","[(24, 34), (77, 86)]"
"[(0, 6)]","[(0, 6), (16, 26), (36, 47)]"
"[(0, 5)]","[(0, 5), (19, 29), (64, 67), (94, 110)]"
"[(0, 6), (17, 21)]","[(0, 6), (48, 54), (64, 67)]"
"[(4, 7)]","[(4, 7), (9, 13)]"
"[(11, 47)]","[(11, 41), (73, 79)]"
"[(0, 8)]","[(24, 27), (39, 42), (49, 55)]"
"[(5, 14)]","[(5, 14), (27, 31), (33, 38)]"
"[(5, 8), (43, 50)]","[(5, 8), (43, 50)]"
"[(0, 6)]","[(0, 6), (41, 47)]"
"[(0, 5)]","[(0, 5), (32, 36)]"
"[(45, 75), (83, 86), (124, 127)]","[(30, 34), (36, 38), (83, 86), (124, 127)]"
"[(0, 3), (39, 41)]","[(22, 32), (39, 41), (129, 132)]"
"[(21, 26), (28, 35)]","[(28, 35), (87, 91)]"
"[(0, 7)]","[(0, 7), (34, 37)]"
"[(77, 82)]","[(50, 54), (77, 82)]"
"[(41, 45), (47, 54)]","[(56, 60), (62, 67)]"
"[(49, 52)]","[(7, 13), (25, 34), (41, 52), (75, 78)]"
"[(20, 24), (86, 90)]","[(7, 11), (20, 24), (46, 49), (51, 53)]"
"[(8, 14)]","[(0, 3), (8, 14)]"
"[(49, 52)]","[(44, 47), (49, 52)]"
"[(68, 73)]","[(50, 53), (68, 73)]"
"[(0, 5)]","[(0, 5), (41, 45), (51, 57)]"
"[(27, 30), (51, 63)]","[(27, 30), (51, 53), (60, 63)]"
"[(8, 15)]","[(8, 15), (40, 49), (56, 60)]"
"[(19, 24)]","[(0, 4), (19, 24), (34, 36)]"
"[(42, 55), (57, 62)]","[(19, 25), (57, 62), (64, 69)]"
"[(0, 4)]","[(0, 4), (19, 22), (30, 34), (69, 79)]"
"[(0, 5)]","[(0, 5), (81, 84)]"
"[(0, 4), (46, 53)]","[(46, 53), (63, 75)]"
"[(37, 44)]","[(11, 15), (23, 31), (37, 44)]"
"[(43, 48)]","[(31, 41), (43, 48)]"
